CPRO,LIB,ATT,CGAM
364,CONSTRUCTION PERSONNEL MT,11,400
365,IMMEDIAT PERSONNEL MT,11,400
366,IMMOBILIER NEUF PERSONNEL MT,11,400
367,IMMOBILIER ANCIEN PERSONNEL MT,11,400
368,Consoli /particukier(P+I) MT,11,400
369,REPORT/particukier(P) MT,11,400
370,CONSOLODATION/PARTICU(I) MT,11,400
371,CONSOL/PERSO(I+P) mt,11,400
372,REPORT/PERSO (P) MT,11,400
373,consolidation/perso(I) MT,11,400
374,CREDIT INVESTIS DEVISE MT,11,400
375,CREDIT A L'ETAT,11,400
376,CREDIT AGRICOLE LT,11,400
377,CREDIT EQUIP PROF LT,11,400
379,CONSOLIDATION(I) LT,11,400
380,REPORT(P) LT,11,400
381,CREDIT INVESTISSEMENT LT,11,400
382,LTS/LIGNE EXIM BANK LT,11,400
383,LTS/LIGNE RESS BAD 95 REP LT,11,400
384,LTS/LIGNE pme italienne LT,11,400
385,LTS/ Ligne CFD LT,11,400
386,LTS /LIGNE PARTENAR ITAL LT,11,400
388,CEDIT SYDIQUE,11,400
222,Compte Chèque en TND,01,220
699,Location Coffre Fort,91,699
231,Compte de remboursement CTX,01,220
201,Compte Epargne Special,01,200
709,CREDOC IMP DIFF,01,700
203,Compte Epargne Etudes,01,200
207,Compte Epargne Emprunt Obligat,01,200
221,Compte Courant en TND,01,220
223,Compte Indisponible en TND,01,220
241,Compte Professionnel  en DC,01,240
242,Compte Spécial en DC,01,240
243,Compte Prestataire de Service,01,240
244,Compte Bénéfice- Export DC,01,240
245,Compte Allocation Touristique,01,240
246,Compte S/Délégataire Change,01,240
251,Compte Professionnel en Devise,01,250
252,Compte Spécial  en Devise,01,250
253,Compte Prestataire Service Dev,01,250
254,Compte Bénéfice-Export Devis,01,250
255,Compte S/Délégatair Change,01,250
256,Compte Négoce International,01,250
271,Compte TRE en Devise,01,270
272,Compte Etranger en Devise,01,270
273,Compte Indisponible en Devises,01,270
277,Compte de non résident Libyen,01,270
281,Compte TRE  en DC,01,280
282,Compte Etranger en DC,01,280
283,Compte Indisponible en DC,01,280
287,Compte de non résident Libyen,01,280
291,Compte Spécial (marché) TND,01,290
292,Compte Spéci Recet consulaire,01,290
293,Compte INR en TND,01,290
294,Compte d’Attente en TND,01,290
295,Compte Capital  en TND,01,290
296,Compte Spécial Emprunts TND,01,290
297,Compte de non résident Libyen,01,290
596,CPT CONFIRMAT  LETTRE GARANTIE,01,570
448,CPT REPORT PERSONNEL,01,400
540,Compte impayés principal,01,400
495,CPT REPORT/PERSO (P) MT,01,001
502,CPT CREDIT EQUIP PROF LT,01,001
496,Compte consolidati/perso(I) MT,01,001
500,COMPTE CREDIT A L'ETAT,01,001
503,COMPTE CONSILID(P+I) LT,01,001
504,COMPTE CONSOLIDATION (I) LT,01,001
505,COMPTE REPORT (P)  LT,01,001
506,CPT CREDIT INVESTISSEMENT LT,01,001
507,CPT  LTS/LIGNE EXIM BANK LT,01,001
508,LTS/LIGNE RESS BAD 95 REP LT,01,001
419,CPT PREFINANCEMENT  MARCHE CT,01,001
426,COMPTE CREDIT CONSOLI (I+P) CT,01,001
427,COMPTE CREDIT REPORT (P)  CT,01,001
432,CPT CREDIT PROMOTEUR IMMO CT,01,001
609,COMPTE APL Ligne d'escompte,01,601
607,COMPTE  APL Crédit de gestion,01,601
608,CPT APL Engagement/signature,01,601
613,compte Avance sur Salaire,41,600
611,cpt Autorisat découvert perma,41,600
612,compte Autori.découv ponctuel,01,600
575,CPT CAUT EXERCICES PROFESSIO,01,003
576,COMPTE LETTRE DE GARANTIE,01,003
577,CPT CAU GARAN BANCA 1ERE DEMAN,01,003
578,COMPTE AUTRES EPS,01,003
579,COMPTE GARANTIES CONVENTIONNEL,01,003
580,COMPTE GARANTIES DE PAIEMENT,01,003
581,COMPTE CAUTIONS FISCALES,01,003
582,COMPTE CAUTIONS PROVISOIRES,01,003
583,COMPTE CAUTIONS DEFINITIVES,01,003
584,COMPTE  CAUTIONS D'AVANCE,01,003
585,CPT CAUTI RETENUE DE GARANTIE,01,003
586,CPT AUTRES CAUTIONS SUR MARCHE,01,003
588,COMPTE OBLIGATIONS CAUTIONNEES,01,003
589,COMPTE CAUTION D' AVALS,01,003
590,COMPTE ADMISSIONS TEMPORAIRES,01,003
591,CPT REGIME D'EXPORT TEMPORAIRE,01,003
593,CPT AUTRES CAUTIONS DOUANIERES,01,003
514,COMPTE CREDIT PROMETEUR LT,01,001
523,COMPTE CREDIT IMMOBILI ANCIEN,01,001
532,COMPTE REPORT/PERSO (P) LT,01,001
510,Compte LTS/ Ligne CFD LT,01,001
527,CPT CDT CONSTRUCTION PERSO LT,01,001
529,CPT REPORT /PART (P+I) LT,01,001
533,COMPTE CONSOLID/PERSO (I) LT,01,001
413,CPT CREDIT DEMARRAGE HUILE CT,01,001
414,COMPTE CREDIT RELAIS,01,001
509,CPT LTS/LIGNE PME italienneLT,01,001
428,CPT CREDIT CONSOLIDAT (INT)CT,01,001
412,CPT FINANCEMENT DEVISE CT,01,001
408,CPT AVANCE/ MARCHANDISES  CT,01,001
415,COMPTE DECOUVERT MOBILISE CT,01,001
417,CPT MCNE (MOBIL.CREANCE/ETRAN),01,001
418,CPT MOBILI.CREANCE ADMINISTRA,01,001
420,CPT PREFINANCE D'EXPORTATIO CT,01,001
429,COMPTE CREDIT INVESTISSEM CT,01,001
430,CPT CREDIT PARTICIPA/ENSE  CT,01,001
431,COMPTE CREDIT SYNDIQUE   CT,01,001
437,COMPTE CREDIT AUTO OCCASION CT,01,001
438,COMPTE CREDIT VOITURE NEUVE CT,01,001
439,CPT CREDIT RELAIS PARTICULI CT,01,001
440,CPT CREDIT RELAIS PERSONNEL CT,01,001
435,CPT CRED AUTO NEU PERSONNEL CT,01,001
441,CPT AUTO OCCASION PERSONNELCT,01,001
442,COMPTE IMMEDIAT PERSONNEL CT,01,001
443,CPT PARTICIPATIF PARTICULI CT,01,001
444,CPT CONSOLID PARTICULI  I+P CT,01,001
445,CPT REPORT PARTICULIER(P) CT,01,001
446,COMPTE CONSOLID PARTIC (I) CT,01,001
447,CPT CONSOLD PERSONNEL (I+P) CT,01,001
449,CPT CONSOLID PERSONNEL (I)CT,01,001
455,CPT CREDIT PARTICIPATIF MT,01,001
456,COMPTE CREDIT RELAIS MT,01,001
410,CPT CREDIT CAMPAGNE  CT,01,001
457,COMPTE CREDIT INVESTISSEME MT,01,001
458,COMPTE CREDIT SYNDIQUE MT,01,001
459,CPT CREDIT EQUIP PROFESSION MT,01,001
460,COMPTE CONSOLID (P+I) MT,01,001
461,COMPTE CREDIT A L'ETAT MT,01,001
463,COMPTE CONSOLIDATIO INTERET MT,01,001
464,COMPTE CREDIT 2121 MT,01,001
465,CPT CREDIT PROMOT IMMOBILI MT,01,001
466,COMPTE CREDIT AGRICOLE MT,01,001
467,CDT M.T.S/RESS.BAD2001 REP.P/E,01,001
473,COMPTE AMENAGEMENT CONFORT+ MT,01,001
474,COMPTE ACHAT TERRAIN MT,01,001
475,COMPTE CREDIT AUTO OCCASION MT,01,001
476,COMPTE CREDIT CONSTRUCTION MT,01,001
477,COMPTE CREDIT IMMEDIAT MT,01,001
478,COMPTE CREDIT IMMOBIL  NEUF MT,01,001
479,CPT CREDIT IMMOBILI ANCIEN MT,01,001
480,COMPTE CREDIT VOITURE NEUVE MT,01,001
481,COMPTE PARTICIPATIF PARTICU MT,01,001
482,CPT AMENAG.CONFORT+PERSONNE MT,01,001
483,CPT ACHAT TERRAIN PERSONNEL MT,01,001
484,COMPTE AUTO OCCA PERSONNEL MT,01,001
485,COMPTE AUTO NEUVE PERSONNEL MT,01,001
486,COMPTE CONSTRUCTI PERSONNEL MT,01,001
487,COMPTE IMMEDIAT PERSONNEL MT,01,001
488,CPT IMMOBIL NEUF PERSONNEL MT,01,001
489,CPT IMMOBILI ANCI PERSONNEL MT,01,001
416,CPT DECOUV MOBILISE RENOUV. CT,01,001
406,CPT AVANCE SUR ATTESTAION CT,01,001
407,CPT AVANCE SUR  FACTURES CT,01,001
409,CPT CREDITS AGRICOLES CT,01,001
411,CPT CREDIT FINANCEMENT STOCK,01,001
494,COMPTE CONSOL/PERSO(I+P) mt,01,001
498,Compte d'attente FINDEV,01,400
405,CPT APPOR FON C/C ASSOCIERS PM,01,001
511,CPT LTS /LIGNE PARTENA ITAL LT,01,001
520,COMPTE CREDIT ACHAT TERRAIN LT,01,001
525,CPT CDT IMMOBILI ANCI PERSO LT,01,001
526,CPT CDT ACHAT TERRIN /PERSO LT,01,001
501,COMPTE CREDIT AGRICOLE LT,01,001
512,LTS /RESSBAD2001 REP PEFF LT,01,001
522,COMPTE CREDIT IMMOBILI NEUF LT,01,001
610,compte  Engagement CREDOC,01,601
450,CPTCREDIT INVESTIS DEVISE CT,01,400
497,COMPTE CREDIT INVESTIS DEVI MT,01,400
534,COMPT CREDIT INVESTI DEVISE LT,01,400
524,CPT CDT IMMOBILIER NEUF PERSO,01,001
528,CPT CONSOLID/PART (P+I) LT,01,001
389,CREDIT PROMETEUR LT,11,400
390,ACHAT TERRIN LT,11,400
391,CREDIT CONSTRUCTION LT,11,400
392,CREDIT IMMOBILIER NEUF LT,11,400
393,CREDIT IMMOBILIER ANCIEN,11,400
394, IMMOBILIER NEUF PERSO NEUF,11,400
395,IMMOBILIER ANCIENPERSO LT,11,400
396,ACHAT TERRIN /PERSO LT,11,400
397,CONSTRUCTION PERSO LT,11,400
398,CONSOLID/PART (P+I) LT,11,400
399,REPORT /PART (P+I) LT,11,400
851,Encaissement Chèque CTX,01,851
468,Comptes clients soumis aux ART,01,468
469,Intérêts/cdt perçu terme,01,468
470,Agios débiteurs,01,468
471,Intérêts précomptés,01,468
472,Crédits consolidé,01,468
499,Cpt prt ds le calcul ART,01,468
598,Commissions,01,468
599,Contentieux,01,468
550,CAUT D'EXERCICES PROFESSIONELS,11,570
551,LETTRE DE GARANTIE,11,570
552,GARANTIE BANCAIRE 1ERE DEMANDE,11,570
553,AUTRES EPS,11,570
554,GARANTIES CONVENTIONNELLES,11,570
555,GARANTIES DE PAIEMENT,11,570
556,CAUTIONS FISCALES,11,570
557,CAUTIONS PROVISOIRES,11,570
558,CAUTIONS DEFINITIVES,11,570
559,CAUTIONS D'AVANCE,11,570
560,CAUTION DE RETENUE DE GARANTIE,11,570
561,AUTRES CAUTIONS SUR MARCHE,11,570
565,ADMISSIONS TEMPORAIRES,11,570
566,REGIME D'EXPORT TEMPORAIRE,11,570
567,AVALS DE BILLETS DE TRESORERIE,11,570
568,AUTRES CAUTIONS DOUANIERES,11,570
614,Autori.découv ponctuel,11,600
569,AVALS/EMPRUNTS OBLIGATAIRES,11,570
570,REGIME TRANSIT,11,570
247,Compte Amnistie de Change DC,01,240
257,Compte Amnistie de Change Devi,01,250
571,CONFIRMATION LETTRE GARANTIE,11,570
572,AVALS EN DEVISE,11,570
852,Escompte intragroupe CTX,01,851
530,CPT CONSOLID /PART (P) LT,01,001
531,CPT CONSILID/PERSO (P+I) LT,01,001
513,COMPTE CREDIT SYDIQUE,01,001
535,CONSOLID /PART (P) LT,11,400
536,CONSILID/perso (P+I) LT,11,400
537,REPORT/PERSO (P) LT,11,400
538,CONSOLID/PERSO (I) LT,11,400
539,CREDIT INVESTIS DEVISE LT,11,400
853,Escompte sur signature A Norma,01,851
854,CTX Escom avalisé Normali,01,851
855,CTX Effets Escompte Normalisé,01,851
856,CTX Impayé sur escompte effet,01,851
857,CTX Frais d'impayé d'escompte,01,851
858,Escompte Effet,01,851
859,CTX compe Avals,01,851
860,CPT CTX  Impayé en souffrance,01,851
862,CPT CTX de retenue de garantie,01,851
863,CPT CTX d’acceptation,01,851
864,CTX Reten garant pris au règl,01,851
865,CTX Reten garan pris à l'ouve,01,851
866,Compte CTX  traite acceptée,01,851
867,CPT CTX Acceptation CDI,01,851
868,CTX Reglement impayé CDI,01,851
869,CPT CTX d'engagement credoc im,01,851
870,CPT CTX Autori.découv ponctue,01,851
871,CTX Autorisat découvert perma,01,851
872,CPT CTX Engagement CREDOC,01,851
873,CTX APL Ligne d'escompte,01,851
874,CTX APL Engagement/signature,01,851
876,CPT CTX REGIME TRANSIT,01,851
877,CPT CTX AVALS/EMPRUNT OBLIGA,01,851
878,CPT CTX AUTRES CAUTIONS DOUANI,01,851
879,CPT AVAL  BILLETS  TRESORERIE,01,851
880,CPT CTX REGIME D'EXPORT TEMPO,01,851
881,CPT CTX REGIME D'EXPORT TEMPO,01,851
882,COMPTE  CTX CAUTION D' AVALS,01,851
883,CPT CTX OBLIGATION CAUTIONNEE,01,851
884,CPT CTX CAUTIONS DOUANIERES,01,851
887,CPT CTX AUTRES CAUTIONS / MARC,01,851
888,CPT CTX CAUTI RETENUE DE GARAN,01,851
889,CPT CTX  CAUTIONS D'AVANCE,01,851
890,CPT CTX CAUTIONS DEFINITIVES,01,851
891,CPT CTX CAUTIONS FISCALES,01,851
892,CPT CTX GARANTIES DE PAIEMENT,01,851
893,CPT CTX GARANTIES CONVENTIONNE,01,851
894,COMPTE CTX AUTRES EPS,01,851
895,CPT CTX CAU GARA BANC 1ER DEMA,01,851
896,CPT CTX  LETTRE DE GARANTIE,01,851
897,CPT CTX CAUT EXERCICES PROFESS,01,851
898,CPT CTX  Interêts de retard,01,851
899,CPT CTX impayés sur intérêt,01,851
901,CPT CTX impay inter accessoi,01,851
902,CPT CTX impayés principal,01,851
903,CPT CTX CONSOLID/PERSO (I) LT,01,851
904,CPT CTX REPORT/PERSO (P) LT,01,851
905,CPT CTX CONSILID/PERSO (P+I) L,01,851
906,CPT CTX CONSOLID /PART (P) LT,01,851
907,CPT CTX REPORT /PART (P+I) LT,01,851
908,CPT CTX CONSOLID/PART (P+I) LT,01,851
909,CPT CTX CONSTRUCTION PERSO LT,01,851
910,CPT CTX ACHAT TERRIN /PERSO LT,01,851
911,CPT CTX IMMOBILI ANCI PERSO LT,01,851
912,CPT CTX IMMOBILIER NEUF PERSO,01,851
913,CPT CTX CREDIT IMMOBILI ANCIEN,01,851
914,CPT CTX CREDIT IMMOBILI NEUF L,01,851
915,CPT CTX CREDIT CONSTRUCTION LT,01,851
916,CPT CTX CREDIT ACHAT TERRAIN L,01,851
917,CPT CTX CREDIT PROMETEUR LT,01,851
918,CPT CTX CREDIT SYDIQUE,01,851
919,CTX LTS /RESSBAD2001 REP PEFF,01,851
920,CTX CPT LTS /LIGNE PARTENA ITA,01,851
921,CPT CTX LTS/ Ligne CFD LT,01,851
922,CPT CTX  LTS/LIGNE PME italien,01,851
923,CTX LTS/LIGNE RESS BAD 95 REP,01,851
924,CPT CTX LTS/LIGNE EXIM BANK LT,01,851
925,CPT CTX  CREDIT INVESTISSEMENT,01,851
926,CPT CTX REPORT (P)  LT,01,851
927,CPT CTX CONSOLIDATION (I) LT,01,851
928,CPT CTX CONSILID(P+I) LT,01,851
929,CPT CTX  CREDIT EQUIP PROF LT,01,851
930,CPT CTX CREDIT AGRICOLE LT,01,851
931,CPT CTX CREDIT A L'ETAT,01,851
932,CPT CTX  attente FINDEV,01,851
933,CPT CTX consolidati/perso(I) M,01,851
934,CPT CTX REPORT/PERSO (P) MT,01,851
935,CPT CTX  CONSOL/PERSO(I+P) mt,01,851
936,CPT CTX CONSOL/PARTICU(I) MT,01,851
937,CPT CTX REPORT/PARTICUL (P) MT,01,851
938,CPT CTX Consoli/particuli (P+I,01,851
939,CPT CTX IMMOBILI ANCI PERSON M,01,851
940,CPT CTX IMMOBIL NEUF PERSONNEL,01,851
941,CPT CTX IMMEDIAT PERSONNEL MT,01,851
942,CPT CTX CONSTRUCTI PERSONNEL M,01,851
943,CPT CTX AUTO NEUVE PERSONNEL M,01,851
944,CPT CTX AUTO OCCA PERSONNEL MT,01,851
945,CPT CTX ACHAT TERRAIN PERSO MT,01,851
946,CPT CTX AMEN.CONFORT+PERSONMT,01,851
947,CPT CTX PARTICIPATI PARTICU MT,01,851
948,CPT CTX CREDIT VOITU  NEUVE MT,01,851
949,CPT CTX CDT  IMMOBILI ANCIEN M,01,851
950,CPT CTX CDT IMMOBIL  NEUF MT,01,851
951,CPT CTX CREDIT IMMEDIAT MT,01,851
952,CPT CTX CDT CONSTRUCTION MT,01,851
953,CPT CTX CDT AUTO OCCASION MT,01,851
954,CPT CTX ACHAT TERRAIN MT,01,851
955,CPT CTX AMENAGE CONFORT+ MT,01,851
956,CTX CDT M.T.S/RESS.BAD2001 REP,01,851
957,CPT CTX CREDIT AGRICOLE MT,01,851
958,CPT CTX CDT PROMOT IMMOBILI MT,01,851
959,CPT CTX CREDIT 2121 MT,01,851
960,CPT CTX CONSOLIDAT INTERET MT,01,851
961,CPT CTX CREDIT REPORT (P) MT,01,851
962,CPT CTX CREDIT A L'ETAT MT,01,851
963,CPT CTX CONSOLID (P+I) MT,01,851
964,CPT CTX CDT EQUIP PROFESSION M,01,851
965,CPT CTX CREDIT SYNDIQUE MT,01,851
966,CPT CTX CREDIT INVESTISSEME MT,01,851
967,CPT CTX CREDIT RELAIS MT,01,851
968,CPT CTX CDT PARTICIPATIF MT,01,851
969,CPT CTX CONSOLID PERSON (I) CT,01,851
970,CPT CTX CONSOLD PERSON (I+P) C,01,851
971,CPT CTX CONSOLID PARTIC (I) CT,01,851
972,CPT CTX REPORT PARTICUL (P) CT,01,851
973,CPT CTX CONSOL PARTICU  I+P CT,01,851
974,CPT CTX  PARTICIPATIF PARTICUL,01,851
975,CPT CTX CDT IMMEDIAT PERSON CT,01,851
976,CPT CTX AUTO OCCASION PERSON C,01,851
977,CTX  CDT RELAIS PERSONNEL CT,01,851
978,CTX CREDIT RELAIS PARTICULI CT,01,851
979,CTX CREDIT VOITURE NEUVE CT,01,851
980,CTX CREDIT AUTO OCCASION CT,01,851
981,CTX CREDIT IMMEDIAT CT,01,851
982,CTX CRED AUTO NEU PERSONNEL CT,01,851
983,CTX CREDIT PROMOTEUR IMMO CT,01,851
984,CPT CTX CREDIT SYNDIQUE   CT,01,851
985,CPT CTX CREDIT PARTICIPA/ENSE,01,851
986,CPT CTX  CREDIT INVESTISSEM CT,01,851
987,CPT CTX CRT CONSOLIDAT (INT)CT,01,851
988,CPT CTX CDT REPORT (P)  CT,01,851
989,CPT CTX CDT CONSOLI (I+P) CT,01,851
990,CTX  PREFINANCE D'EXPORTATIO C,01,851
991,CTX PREFINANCEMENT  MARCHE CT,01,851
992,CTX  MOBILI.CREANCE ADMINISTRA,01,851
993,CTX  MCNE (MOBIL.CREANCE/ETRAN,01,851
994,CTX DECOUV MOBILISE RENOUV. CT,01,851
995,CPT CTX  DECOUVERT MOBILISE CT,01,851
996,CPT CTX  CREDIT RELAIS,01,851
840,CTX CREDIT DEMARRAGE HUILE CT,01,851
841,CTX CREDIT FINANCEMENT STOCK,01,851
842,CTX CREDIT CAMPAGNE  CT,01,851
354,CREDIT CONSTRUCTION MT,11,400
844,CTX  AVANCE/ MARCHANDISES  CT,01,851
845,CTX AVANCE SUR  FACTURES CT,01,851
846,CTX AVANCE SUR ATTESTAION CT,01,851
847,CTX APPOR FON C/C ASSOCIERS PM,01,851
848,CTX CPT d’Attente en TND,01,851
823,CTX CPT Spécial (marché)TND,01,851
824,CTX CPT Indisponible en TND,01,851
825,CTX CPT Chèque en TND,01,851
826,CTX CPT Courant en TND,01,851
402,Compte ligne BEI MT,01,001
516,Ligne BEI MT,11,400
800,Cpt certificat dépôt,01,801
317,CREDIT DE CONSOLIDATIO (INT)CT,11,400
324,CREDIT AUTO OCCASION CT,11,400
342,CREDIT EQUIP PROFESSIONNEL  MT,11,400
346,CONSOLIDATION INTERET MT,11,400
350,CDT M.T.S/RESS.BAD2001 REP.P/E,11,400
667,Règ. huissier saisie arrêt,01,885
668,Règ. huissier opp. administra,01,885
378,CONSILID(P+I) LT,11,400
387,LTS /RESSBAD2001 REP PEFF LT,11,400
597,COMPTE AVALS EN DEVISE,01,570
587,COMPTE  CAUTIONS DOUANIERES,01,003
592,CPT AVAL  BILLETS  TRESORERIE,01,003
594,CPT AVALS/EMPRUNT OBLIGATAIRE,01,003
595,COMPTE REGIME TRANSIT,01,003
521,COMPTE CREDIT CONSTRUCTION LT,01,001
436,COMPTE CREDIT IMMEDIAT CT,01,001
462,COMPTE CREDIT REPORT (P) MT,01,400
491,Cpt Consoli/particuli (P+I) MT,01,001
492,COMPTE REPORT/PARTICUL (P) MT,01,001
493,CPT CONSOLODATI/PARTICU(I) MT,01,001
542,Compte impayés inter accessoi,01,400
543,Compte impayés sur intérêt,01,400
541,Compte d'attente,11,400
544,compte Interêts de retard,01,400
562,CAUTIONS DOUANIERES,11,570
563,OBLIGATIONS CAUTIONNEES,11,570
564,AVALS,11,570
861,COMPTE CTX  MCNE,01,851
875,CPT CTX APL Crédit de gestion,01,851
843,CTX CREDITS AGRICOLES CT,01,851
731,Nivellement Automatique,61,730
206,Comptes Epargne en Action,01,200
615,COMPTE INTERNE REPRISE,01,615
490,Virements permana,51,730
807,Dépôt à Terme DINARS,11,800
808,Dépôt à Terme DEVISES,11,800
809,Bon de Caisse,11,820
400,WEB_Personnel BTK,32,900
997,WEB_Professionnel,32,900
998,WEB_Société,32,900
999,WEB_Particuliers,32,900
602,compte fictif,01,602
773,Assurance Crédit,73,773
801,Dépôt à Terme DINARS,01,800
830,Encaissement Effet,01,830
701,Compte d'engagement credoc imp,01,700
822,Compte d'avance BDC,01,820
806,Compte de provision DAT DEV,01,800
741,Compte Intérêts Réservés,01,740
832,Provision sur escompte effet,01,830
837,Escompte avalisé Normalisé,01,830
838,Escompte sur signature A Norma,01,830
839,Escompte intragroupe,01,830
714,Compte de traite acceptée,01,710
703,Compte Reglement impayé CDI,01,700
700,remdoc imp,11,710
715,Cpt Reten garan pris à l'ouve,01,710
704,Acceptation CDI,01,700
705,credoc exp,11,700
711,remdoc imp,11,710
712,remdoc exp,11,710
713,Engagement client PTI,11,710
721,COMPTE MCNE,01,720
722,Impayé en Remboursement,01,720
723,Compte Impayé en souffrance,01,720
730,Transfert,11,730
716,Cpt Reten garant pris au règl,01,710
717,Exigible après encaissement,01,710
718,Compte d’acceptation,01,710
719,Compte de retenue de garantie,01,710
850,Encaissement Chèque,01,850
802,Compte d'avance DAT TND,01,800
803,Compte de provision  DAT TND,01,800
804,Dépôt à Terme DEVISES,01,800
805,Compte d'avance DAT DEV,01,800
831,Escompte Effet,01,830
833,Provision sur Escompte Effet,01,830
834,Frais d'impayé d'escompte,01,830
835,Impayé sur escompte effet,01,830
836,Effets Escompte Normalisé,01,830
750,COMPTE HYPOTHEQUE IMMATRICULEE,01,750
751,COMPTE NANTISSEMENT DE DEPOT,01,750
752,CPT NANTISSE COMP SPEC EPARGNE,01,750
753,COMPTE CAUTIO BANQUE RESIDENTE,01,750
754,COMPTE NANTISSEM/ OBLIGATIONS,01,750
755,CPT NANTISSEM  BON D CAISSE,01,750
756,COMPTE GARANTIE DE L'ETAT,01,750
757,CAUTION HYPOTHECAIRE IMMATRICU,01,750
758,CPT HYPOTHEQ IMMATRICULE(AFH),01,750
759,CPT HYPOTHEQ IMMATRICULE (AFI),01,750
702,Compte Retenue de garantie CDI,01,700
760,CPT HYPOTHE NON IMMATRIC (AFH),01,750
761,CPT HYPOTHE NON IMMATRIC (AFI),01,750
762,CPT CAUTION BANQ NON RESIDENTE,01,750
763,COMPTE SOTUGAR,01,750
764,COMPTE FNG,01,750
765,CPT HYPOTHEQ NON IMMATRI (AFT),01,750
766,CPT HYPOTH NON IMMATR (ELISKAN,01,750
767,CPT HYPOTHEQ IMMATRICUL (AFT),01,750
768,CPT HYPOTHEQ IMMATRIC (ELISKAN,01,750
769,CPT NANTISSEMENT TITRES COTES,01,750
770,Compt Eng d’inserti hypothè,01,750
771,Compte Assurance cotunace,01,750
772,compe Avals,01,750
821,Bon de Caisse,01,820
707,REMDOC IMP,11,710
885,Compte Produit Saisie arrêt,01,885
886,Compte Prod Oppositi administr,01,885
706,credoc imp,11,700
724, MCNE,11,720
708,REMDOC EXP,11,710
401,Compte ligne BEI LT,01,001
515,Ligne BEI LT,11,400
001,Dossier ESSABA,81,200
208,Compte  Epargne ESSABA,01,200
519,COMPTE CREDIT EPL,01,001
518,CREDIT EPL,11,400
